id,identifier,height,weight,base_experience,type_slot_1_identifier,type_slot_2_identifier,stats_hp,stats_attack,stats_defense,stats_special-attack,stats_special-defense,stats_speed,generation,aura_color,description
281,kirlia,8,202,97,psychic,fairy,38,35,35,65,55,50,3,blue,Kirlia uses the horns on its head to amplify its psychokinetic power. When the Pokémon uses its power， the air around it becomes distorted， creating mirages of nonexistent scenery.
282,gardevoir,16,484,233,psychic,fairy,68,65,65,125,115,80,3,blue,Gardevoir has the psychokinetic power to distort the dimensions and create a small black hole. This Pokémon will try to protect its Trainer even at the risk of its own life.
283,surskit,5,17,54,bug,water,40,30,32,50,52,65,3,blue,If Surskit senses danger， it secretes a thick， sugary syrup from the tip of its head. There are some Pokémon that love eating this syrup.
284,masquerain,8,36,145,bug,flying,70,60,62,80,82,60,3,blue,Masquerain’s antennas have eyelike patterns that usually give it an angry look. If the eyes are droopy and appear sad， it is said to be a sign that a heavy rainfall is on its way.
285,shroomish,4,45,59,grass,,60,40,60,40,60,35,3,brown,If Shroomish senses danger， it shakes its body and scatters spores from the top of its head. This Pokémon’s spores are so toxic， they make trees and weeds wilt.
286,breloom,12,392,161,grass,fighting,60,130,80,60,60,70,3,green,The seeds ringing Breloom’s tail are made of hardened toxic spores. It is horrible to eat the seeds. Just taking a bite of this Pokémon’s seed will cause your stomach to rumble.
287,slakoth,8,240,56,normal,,60,60,60,35,35,30,3,brown,Slakoth’s heart beats just once a minute. Whatever happens， it is content to loaf around motionless. It is rare to see this Pokémon in motion.
288,vigoroth,14,465,154,normal,,80,80,80,55,55,90,3,blue,Vigoroth is simply incapable of remaining still. Even when it tries to sleep， the blood in its veins grows agitated， compelling this Pokémon to run wild throughout the jungle before it can settle down.
289,slaking,20,1305,252,normal,,150,160,100,95,65,100,3,brown,Wherever Slaking live， rings of over a yard in diameter appear in grassy fields. They are made by the Pokémon as it eats all the grass within reach while lying prone on the ground.
290,nincada,5,55,53,bug,ground,31,45,90,30,30,40,3,gray,Nincada lives underground. It uses its sharp claws to carve the roots of trees and absorb moisture and nutrients. This Pokémon can’t withstand bright sunlight so avoids it.
291,ninjask,8,120,160,bug,flying,61,90,45,50,50,160,3,yellow,If Ninjask is not trained properly， it will refuse to obey the Trainer and cry loudly continuously. Because of this quality， this Pokémon is said to be one that puts the Trainer’s abilities to the test.
292,shedinja,8,12,83,bug,ghost,1,90,45,30,30,40,3,brown,Shedinja is a peculiar Pokémon. It seems to appear unsought in a Poké Ball after a Nincada evolves. This bizarre Pokémon is entirely immobile—it doesn’t even breathe.
293,whismur,6,163,48,normal,,64,51,23,51,23,28,3,pink,Whismur is very timid. If it starts to cry loudly， it becomes startled by its own crying and cries even harder. When it finally stops crying， the Pokémon goes to sleep， all tired out.
294,loudred,10,405,126,normal,,84,71,43,71,43,48,3,blue,Loudred shouts while stamping its feet. After it finishes shouting， this Pokémon becomes incapable of hearing anything for a while. This is considered to be a weak point.
295,exploud,15,840,221,normal,,104,91,63,91,73,68,3,blue,Exploud communicates its feelings to the others by emitting whistle-like sounds from the tubes on its body. This Pokémon only raises its voice when it is in battle.
296,makuhita,10,864,47,fighting,,72,60,30,20,30,25,3,yellow,Makuhita has a tireless spirit—it will never give up hope. It eats a lot of food， gets plenty of sleep， and it trains very rigorously. By living that way， this Pokémon packs its body with energy.
297,hariyama,23,2538,166,fighting,,144,120,60,40,60,50,3,brown,Hariyama’s thick body may appear fat， but it is actually a hunk of solid muscle. If this Pokémon bears down and tightens all its muscles， its body becomes as hard as a rock.
298,azurill,2,20,38,normal,fairy,50,20,40,20,40,20,3,blue,Azurill’s tail is large and bouncy. It is packed full of the nutrients this Pokémon needs to grow. Azurill can be seen bouncing and playing on its big， rubbery tail.
299,nosepass,10,970,75,rock,,30,45,135,45,90,30,3,gray,Nosepass had been said to be completely unmoving， with its magnetic nose pointed due north. However， close observation has revealed that the Pokémon actually moves by a little over 3/8 of an inch every year.
300,skitty,6,110,52,normal,,50,45,45,35,35,50,3,pink,Skitty is known to chase around playfully after its own tail. In the wild， this Pokémon lives in holes in the trees of forests. It is very popular as a pet because of its adorable looks.
301,delcatty,11,326,133,normal,,70,65,65,55,55,70,3,purple,Delcatty sleeps anywhere it wants without keeping a permanent nest. If other Pokémon approach it as it sleeps， this Pokémon will never fight—it will just move away somewhere else.
302,sableye,5,110,133,dark,ghost,50,75,75,65,65,50,3,purple,Sableye digs the ground with sharpened claws to find rocks that it eats. Substances in the eaten rocks crystallize and rise up to the Pokémon’s body surface.
303,mawile,6,115,133,steel,fairy,50,85,85,55,55,50,3,black,Don’t be taken in by this Pokémon’s cute face—it’s very dangerous. Mawile fools the foe into letting down its guard， then chomps down with its massive jaws. The steel jaws are really horns that have been transformed.
304,aron,4,600,66,steel,rock,50,70,100,40,40,30,3,gray,Aron has a body of steel. With one all-out charge， this Pokémon can demolish even a heavy dump truck. The destroyed dump truck then becomes a handy meal for the Pokémon.
305,lairon,9,1200,151,steel,rock,60,90,140,50,50,40,3,gray,Lairon feeds on iron contained in rocks and water. It makes its nest on mountains where iron ore is buried. As a result， the Pokémon often clashes with humans mining the iron ore.
306,aggron,21,3600,239,steel,rock,70,110,180,60,60,50,3,gray,Aggron is protective of its environment. If its mountain is ravaged by a landslide or a fire， this Pokémon will haul topsoil to the area， plant trees， and beautifully restore its own territory.
307,meditite,6,112,56,fighting,psychic,30,40,55,40,55,60,3,blue,Meditite heightens its inner energy through meditation. It survives on just one berry a day. Minimal eating is another aspect of this Pokémon’s training.
308,medicham,13,315,144,fighting,psychic,60,60,75,60,75,80,3,red,Through the power of meditation， Medicham developed its sixth sense. It gained the ability to use psychokinetic powers. This Pokémon is known to meditate for a whole month without eating.
309,electrike,6,152,59,electric,,40,45,40,65,40,65,3,green,Electrike runs faster than the human eye can follow. The friction from running is converted into electricity， which is then stored in this Pokémon’s fur.
310,manectric,15,402,166,electric,,70,75,60,105,60,105,3,yellow,Manectric discharges strong electricity from its mane. The mane is used for collecting electricity in the atmosphere. This Pokémon creates thunderclouds above its head.
311,plusle,4,42,142,electric,,60,50,40,85,75,95,3,yellow,When Plusle is cheering on its partner， it flashes with electric sparks from all over its body. If its partner loses， this Pokémon cries loudly.
312,minun,4,42,142,electric,,60,40,50,75,85,95,3,yellow,Minun loves to cheer on its partner in battle. It gives off sparks from its body while it is doing so. If its partner is in trouble， this Pokémon gives off increasing amounts of sparks.
313,volbeat,7,177,140,bug,,65,73,55,47,75,85,3,gray,Volbeat’s tail glows like a lightbulb. With other Volbeat， it uses its tail to draw geometric shapes in the night sky. This Pokémon loves the sweet aroma given off by Illumise.
314,illumise,6,177,140,bug,,65,47,55,73,75,85,3,purple,Illumise leads a flight of illuminated Volbeat to draw signs in the night sky. This Pokémon is said to earn greater respect from its peers by composing more complex designs in the sky.
315,roselia,3,20,140,grass,poison,50,60,45,100,80,65,3,green,On extremely rare occasions， a Roselia is said to appear with its flowers in unusual colors. The thorns on this Pokémon’s head contain a vicious poison.
316,gulpin,4,103,60,poison,,70,43,53,43,53,40,3,green,Most of Gulpin’s body is made up of its stomach—its heart and brain are very small in comparison. This Pokémon’s stomach contains special enzymes that dissolve anything.
317,swalot,17,800,163,poison,,100,73,83,73,83,55,3,purple,Swalot has no teeth， so what it eats， it swallows whole， no matter what. Its cavernous mouth yawns widely. An automobile tire could easily fit inside this Pokémon’s mouth.
318,carvanha,8,208,61,water,dark,45,90,20,65,20,65,3,red,If anything invades Carvanha’s territory， it will swarm and tear at the intruder with its pointed fangs. On its own， however， this Pokémon turns suddenly timid.
319,sharpedo,18,888,161,water,dark,70,120,40,95,40,95,3,blue,Sharpedo can swim at speeds of up to 75 mph by jetting seawater out of its backside. This Pokémon’s drawback is its inability to swim long distances.
320,wailmer,20,1300,80,water,,130,70,35,70,35,60,3,blue,Wailmer can store water inside its body to transform itself into a ball for bouncing around on the ground. By filling itself up with more water， this Pokémon can elevate the height of its bounces.
321,wailord,145,3980,175,water,,170,90,45,90,45,60,3,blue,When chasing prey， Wailord herds them by leaping out of the water and making a humongous splash. It is breathtaking to see this Pokémon leaping out of the sea with others in its pod.
322,numel,7,240,61,fire,ground,60,60,40,65,45,35,3,yellow,Numel stores magma of almost 2，200 degrees Fahrenheit within its body. If it gets wet， the magma cools and hardens. In that event， the Pokémon’s body grows heavy and its movements become sluggish.
323,camerupt,19,2200,161,fire,ground,70,100,70,105,75,40,3,red,The humps on Camerupt’s back are formed by a transformation of its bones. They sometimes blast out molten magma. This Pokémon apparently erupts often when it is enraged.
324,torkoal,5,804,165,fire,,70,85,140,85,70,20,3,brown,Torkoal generates energy by burning coal. It grows weaker as the fire dies down. When it is preparing for battle， this Pokémon burns more coal.
325,spoink,7,306,66,psychic,,60,25,35,70,80,60,3,black,Spoink keeps a pearl on top of its head. The pearl functions to amplify this Pokémon’s psychokinetic powers. It is therefore on a constant search for a bigger pearl.
326,grumpig,9,715,165,psychic,,80,45,65,90,110,80,3,purple,Grumpig uses the black pearls on its body to wield its fantastic powers. When it is doing so， it dances bizarrely. This Pokémon’s black pearls are valuable as works of art.
327,spinda,11,50,126,normal,,60,60,60,60,60,60,3,brown,No two Spinda are said to have identical spot patterns on their hides. This Pokémon moves in a curious manner as if it is stumbling in dizziness. Its lurching movements can cause the opponent to become confused.
328,trapinch,7,150,58,ground,,45,100,45,45,45,10,3,brown,Trapinch is a patient hunter. It digs an inescapable pit in a desert and waits for its prey to come tumbling down. This Pokémon can go a whole week without access to any water.
329,vibrava,11,153,119,ground,dragon,50,70,50,50,50,70,3,green,Vibrava’s wings have not yet completed the process of growing. Rather than flying long distances， they are more useful for generating ultrasonic waves by vibrating.
330,flygon,20,820,234,ground,dragon,80,100,80,80,80,100,3,green,Flygon whips up a sandstorm by flapping its wings. The wings create a series of notes that sound like singing. Because the singing is the only thing that can be heard in a sandstorm， this Pokémon is said to be the desert spirit.
331,cacnea,4,513,67,grass,,50,85,40,85,40,35,3,green,The more arid and harsh the environment， the more pretty and fragrant a flower Cacnea grows. This Pokémon battles by wildly swinging its thorny arms.
332,cacturne,13,774,166,grass,dark,70,115,60,115,60,55,3,green,If a traveler is going through a desert in the thick of night， Cacturne will follow in a ragtag group. The Pokémon are biding their time， waiting for the traveler to tire and become incapable of moving.
333,swablu,4,12,62,normal,flying,45,40,60,40,75,50,3,blue,Swablu loves to make things clean. If it spots something dirty， it will wipe and polish it with its cottony wings. If its wings become dirty， this Pokémon finds a stream and showers itself.
334,altaria,11,206,172,dragon,flying,75,70,90,70,105,80,3,blue,Altaria sings in a gorgeous soprano. Its wings are like cotton clouds. This Pokémon catches updrafts with its buoyant wings and soars way up into the wild blue yonder.
335,zangoose,13,403,160,normal,,73,115,60,60,60,90,3,blue,Zangoose usually stays on all fours， but when angered， it gets up on its hind legs and extends its claws. This Pokémon shares a bitter rivalry with Seviper that dates back over generations.
336,seviper,27,525,160,poison,,73,100,60,100,60,65,3,black,Seviper’s swordlike tail serves two purposes—it slashes foes and douses them with secreted poison. This Pokémon will not give up its long-running blood feud with Zangoose.
337,lunatone,10,1680,154,rock,psychic,70,55,65,95,85,70,3,yellow,Lunatone becomes active around the time of the full moon. Instead of walking， it moves by floating in midair. The Pokémon’s intimidating red eyes cause all those who see it to become transfixed with fear.
338,solrock,12,1540,154,rock,psychic,70,95,85,55,65,70,3,red,Sunlight is the source of Solrock’s power. It is said to possess the ability to read the emotions of others. This Pokémon gives off intense heat while rotating its body.
339,barboach,4,19,58,water,ground,50,48,43,46,41,60,3,gray,Barboach’s body is covered with a slimy film. If a foe grabs it， this Pokémon just slips out of the enemy’s grip. This Pokémon grows weak if the slimy coating dries up.
340,whiscash,9,236,164,water,ground,110,78,73,76,71,60,3,blue,If Whiscash goes on a wild rampage， it sets off a quake-like tremor with a radius of over three miles. This Pokémon has the ability to predict real earthquakes.
341,corphish,6,115,62,water,,43,80,65,50,35,35,3,red,Corphish catches prey with its sharp claws. It has no likes or dislikes when it comes to food—it will eat anything. This Pokémon has no trouble living in filthy water.
342,crawdaunt,11,328,164,water,dark,63,120,85,90,55,55,3,red,Crawdaunt molts (sheds) its shell regularly. Immediately after molting， its shell is soft and tender. Until the shell hardens， this Pokémon hides in its streambed burrow to avoid attack from its foes.
343,baltoy,5,215,60,ground,psychic,40,40,55,40,70,55,3,brown,As soon as it spots others of its kind， Baltoy congregates with them and then begins crying noisily in unison. This Pokémon sleeps while cleverly balancing itself on its one foot.
344,claydol,15,1080,175,ground,psychic,60,70,105,70,120,75,3,black,Claydol is an enigma that appeared from a clay statue made by an ancient civilization dating back 20，000 years. This Pokémon shoots beams from both its hands.
345,lileep,10,238,71,rock,grass,66,41,77,61,87,23,3,purple,Lileep is an ancient Pokémon that was regenerated from a fossil. It remains permanently anchored to a rock. From its immobile perch， this Pokémon intently scans for prey with its two eyes.
346,cradily,15,604,173,rock,grass,86,81,97,81,107,43,3,green,Cradily’s body serves as an anchor， preventing it from being washed away in rough seas. This Pokémon secretes a strong digestive fluid from its tentacles.
347,anorith,7,125,71,rock,bug,45,95,50,40,50,75,3,gray,Anorith is said to be a type of Pokémon predecessor， with eight wings at the sides of its body. This Pokémon swam in the primordial sea by undulating these eight wings.
348,armaldo,15,682,173,rock,bug,75,125,100,70,80,45,3,gray,Armaldo is a Pokémon species that became extinct in prehistoric times. This Pokémon is said to have walked on its hind legs， which would have been more convenient for life on land.
349,feebas,6,74,40,water,,20,15,20,10,55,80,3,brown,While Feebas’s body is in tatters， it has a hardy and tenacious life force that enables it to live anywhere. However， this Pokémon is also slow and dimwitted， making it an easy catch.
350,milotic,62,1620,189,water,,95,60,79,100,125,81,3,pink,Milotic live at the bottom of large lakes. When this Pokémon’s body glows a vivid pink， it releases a pulsing wave of energy that brings soothing calm to troubled hearts.
351,castform,3,8,147,normal,,70,70,70,70,70,70,3,blue,Castform borrows the power of nature to transform itself into the guises of the sun， rain， and snow-clouds. This Pokémon’s feelings change with the weather.
352,kecleon,10,220,154,normal,,60,90,70,60,120,40,3,green,Kecleon alters its body coloration to blend in with its surroundings， allowing it to sneak up on its prey unnoticed. Then it lashes out with its long， stretchy tongue to instantly ensnare the unsuspecting target.
353,shuppet,6,23,59,ghost,,44,75,35,63,33,45,3,black,Shuppet grows by feeding on dark emotions， such as vengefulness and envy， in the hearts of people. It roams through cities in search of grudges that taint people.
354,banette,11,125,159,ghost,,64,115,65,83,63,65,3,black,A cursed energy permeated the stuffing of a discarded and forgotten plush doll， giving it new life as Banette. The Pokémon’s energy would escape if it were to ever open its mouth.
355,duskull,8,150,59,ghost,,20,40,90,30,90,25,3,black,Duskull wanders lost among the deep darkness of midnight. There is an oft-told admonishment given to misbehaving children that this Pokémon will spirit away bad children who earn scoldings from their mothers.
356,dusclops,16,306,159,ghost,,40,70,130,60,130,25,3,black,Dusclops absorbs anything， however large the object may be. This Pokémon hypnotizes its foe by waving its hands in a macabre manner and by bringing its single eye to bear. The hypnotized foe is made to do Dusclops’s bidding.
357,tropius,20,1000,161,grass,flying,99,68,83,72,87,51,3,green,Children of the southern tropics eat as snacks the fruit that grows in bunches around the neck of Tropius. This Pokémon flies by flapping the leaves on its back as if they were wings.
358,chimecho,6,10,149,psychic,,65,50,70,95,80,65,3,blue,In high winds， Chimecho cries as it hangs from a tree branch or the eaves of a building using a suction cup on its head. This Pokémon plucks berries with its long tail and eats them.
359,absol,12,470,163,dark,,65,130,60,75,60,75,3,blue,Absol has the ability to foretell the coming of natural disasters. It lives in a harsh， rugged mountain environment. This Pokémon very rarely ventures down from the mountains.
360,wynaut,6,140,52,psychic,,95,23,48,23,48,23,3,blue,Wynaut gather on moonlit nights to play by squeezing up against each other. By being squeezed， this Pokémon gains endurance and is trained to dole out powerful counterattacks.
361,snorunt,7,168,60,ice,,50,50,50,50,50,50,3,gray,Snorunt survives by eating only snow and ice. Old folklore claims that a house visited by this Pokémon is sure to prosper for many generations to come.
362,glalie,15,2565,168,ice,,80,80,80,80,80,80,3,gray,Glalie has the ability to freely control ice. For example， it can instantly freeze its prey solid. After immobilizing its prey in ice， this Pokémon enjoys eating it in leisurely fashion.
363,spheal,8,395,58,ice,water,70,40,50,55,50,25,3,blue,Spheal always travels by rolling around on its ball-like body. When the season for ice floes arrives， this Pokémon can be seen rolling about on ice and crossing the sea.
364,sealeo,11,876,144,ice,water,90,60,70,75,70,45,3,blue,Sealeo often balances and rolls things on the tip of its nose. While the Pokémon is rolling something， it checks the object’s aroma and texture to determine whether it likes the object or not.
365,walrein,14,1506,239,ice,water,110,80,90,95,90,65,3,blue,Walrein swims all over in frigid seawater while crushing icebergs with its grand， imposing tusks. Its thick layer of blubber makes enemy attacks bounce off harmlessly.
366,clamperl,4,525,69,water,,35,64,85,74,55,32,3,blue,Clamperl grows while being protected by its rock-hard shell. When its body becomes too large to fit inside the shell， it is sure evidence that this Pokémon is getting close to evolution.
367,huntail,17,270,170,water,,55,104,105,94,75,52,3,blue,Huntail’s tail is shaped like a fish. It uses the tail to attract prey， then swallows the prey whole with its large， gaping mouth. This Pokémon swims by wiggling its slender body like a snake.
368,gorebyss,18,226,170,water,,55,84,105,114,75,52,3,pink,Although Gorebyss is the very picture of elegance and beauty while swimming， it is also cruel. When it spots prey， this Pokémon inserts its thin mouth into the prey’s body and drains the prey of its body fluids.
369,relicanth,10,234,170,water,rock,100,90,130,45,65,55,3,gray,Relicanth is a rare species that was discovered in deep-sea explorations. This Pokémon’s body withstands the enormous water pressure of the ocean depths. Its body is covered in tough scales that are like craggy rocks.
370,luvdisc,6,87,116,water,,43,30,55,40,65,97,3,pink,Luvdisc’s heart-shaped body is a symbol of love and romance. It is said that any couple meeting this Pokémon is promised a loving relationship that never ends.
371,bagon,6,421,60,dragon,,45,75,60,40,30,50,3,blue,Bagon harbors a never-ending dream of one day soaring high among the clouds. As if trying to dispel its frustration over its inability to fly， this Pokémon slams its hard head against huge rocks and shatters them into pebbles.
372,shelgon,11,1105,147,dragon,,65,95,100,60,50,50,3,blue,Covering Shelgon’s body are outgrowths much like bones. The shell is very hard and bounces off enemy attacks. When awaiting evolution， this Pokémon hides away in a cavern.
373,salamence,15,1026,270,dragon,flying,95,135,80,110,80,100,3,blue,By evolving into Salamence， this Pokémon finally realizes its long-held dream of growing wings. To express its joy， it flies and wheels all over the sky while spouting flames from its mouth.
374,beldum,6,952,60,steel,psychic,40,55,80,35,60,30,3,blue,Beldum keeps itself floating by generating a magnetic force that repels earth’s natural magnetism. When it sleeps， this Pokémon anchors itself to a cliff using the hooks on its rear.
375,metang,12,2025,147,steel,psychic,60,75,100,55,80,50,3,blue,When two Beldum fuse together， Metang is formed. The brains of the Beldum are joined by a magnetic nervous system. This Pokémon turns its arms to the rear for traveling at high speed.
376,metagross,16,5500,270,steel,psychic,80,135,130,95,90,70,3,blue,Metagross is the result of two Metang achieving fusion. When hunting， this Pokémon pins the prey to the ground under its massive body. It then eats the helpless victim using the large mouth on its stomach.
377,regirock,17,2300,261,rock,,80,100,200,50,100,50,3,brown,Regirock’s body is composed entirely of rocks. Recently， a study made the startling discovery that the rocks were all unearthed from different locations.
378,regice,18,1750,261,ice,,80,50,100,100,200,50,3,blue,Regice cloaks itself with frigid air of -328 degrees Fahrenheit. Things will freeze solid just by going near this Pokémon. Its icy body is so cold， it will not melt even if it is immersed in magma.
379,registeel,19,2050,261,steel,,80,75,150,75,150,50,3,gray,Registeel was imprisoned by people in ancient times. The metal composing its body is thought to be a curious substance that is not of this earth.
380,latias,14,400,270,dragon,psychic,80,80,90,110,130,110,3,red,Latias is highly intelligent and capable of understanding human speech. It is covered with a glass-like down. The Pokémon enfolds its body with its down and refracts light to alter its appearance.
381,latios,20,600,270,dragon,psychic,80,90,80,130,110,110,3,blue,Latios will only open its heart to a Trainer with a compassionate spirit. This Pokémon can fly faster than a jet plane by folding its forelegs to minimize air resistance.
382,kyogre,45,3520,302,water,,100,100,90,150,140,90,3,blue,Kyogre is said to be the personification of the sea itself. Legends tell of its many clashes against Groudon， as each sought to gain the power of nature.
383,groudon,35,9500,302,ground,,100,150,140,100,90,90,3,red,Through Primal Reversion and with nature’s full power， it will take back its true form. It can cause magma to erupt and expand the landmass of the world.
384,rayquaza,70,2065,306,dragon,flying,105,150,90,150,90,95,3,green,It flies forever through the ozone layer， consuming meteoroids for sustenance. The many meteoroids in its body provide the energy it needs to Mega Evolve.
385,jirachi,3,11,270,steel,psychic,100,100,100,100,100,100,3,yellow,Jirachi will awaken from its sleep of a thousand years if you sing to it in a voice of purity. It is said to make true any wish that people desire.
386,deoxys-normal,17,608,270,psychic,,50,150,50,150,50,150,3,red,Deoxys emerged from a virus that came from space. It is highly intelligent and wields psychokinetic powers. This Pokémon shoots lasers from the crystalline organ on its chest.
387,turtwig,4,102,64,grass,,55,68,64,45,55,31,4,green,It undertakes photosynthesis with its body， making oxygen. The leaf on its head wilts if it is thirsty.
388,grotle,11,970,142,grass,,75,89,85,55,65,36,4,green,It knows where pure water wells up. It carries fellow Pokémon there on its back.
389,torterra,22,3100,236,grass,ground,95,109,105,75,85,56,4,green,Small Pokémon occasionally gather on its unmoving back to begin building their nests.
390,chimchar,5,62,62,fire,,44,58,44,58,44,61,4,brown,The gas made in its belly burns from its rear end. The fire burns weakly when it feels sick.
391,monferno,9,220,142,fire,fighting,64,78,52,78,52,81,4,brown,It uses ceilings and walls to launch aerial attacks. Its fiery tail is but one weapon.
392,infernape,12,550,240,fire,fighting,76,104,71,104,71,108,4,brown,It tosses its enemies around with agility. It uses all its limbs to fight in its own unique style.
393,piplup,4,52,63,water,,53,51,53,61,56,40,4,blue,Because it is very proud， it hates accepting food from people. Its thick down guards it from cold.
394,prinplup,8,230,142,water,,64,66,68,81,76,50,4,blue,It lives a solitary life. Its wings deliver wicked blows that can snap even the thickest of trees.
395,empoleon,17,845,239,water,steel,84,86,88,111,101,60,4,blue,The three horns that extend from its beak attest to its power. The leader has the biggest horns.
396,starly,3,20,49,normal,flying,40,55,30,30,30,60,4,brown,They flock around mountains and fields， chasing after bug Pokémon. Their singing is noisy and annoying.
397,staravia,6,155,119,normal,flying,55,75,50,40,40,80,4,brown,It lives in forests and fields. Squabbles over territory occur when flocks collide.
398,staraptor,12,249,218,normal,flying,85,120,70,50,60,100,4,brown,When Staravia evolve into Staraptor， they leave the flock to live alone. They have sturdy wings.
399,bidoof,5,200,50,normal,,59,45,40,35,40,31,4,brown,It constantly gnaws on logs and rocks to whittle down its front teeth. It nests alongside water.
400,bibarel,10,315,144,normal,water,79,85,60,55,60,71,4,brown,It makes its nest by damming streams with bark and mud. It is known as an industrious worker.
401,kricketot,3,22,39,bug,,37,25,41,25,41,25,4,red,When its antennae hit each other， it sounds like the music of a xylophone.
402,kricketune,10,255,134,bug,,77,85,51,55,51,65,4,red,It signals its emotions with its melodies. Scientists are studying these melodic patterns.
403,shinx,5,95,53,electric,,45,65,34,40,34,45,4,blue,All of its fur dazzles if danger is sensed. It flees while the foe is momentarily blinded.
404,luxio,9,305,127,electric,,60,85,49,60,49,60,4,blue,Strong electricity courses through the tips of its sharp claws. A light scratch causes fainting in foes.
405,luxray,14,420,235,electric,,80,120,79,95,79,70,4,blue,Luxray’s ability to see through objects comes in handy when it’s scouting for danger.
406,budew,2,12,56,grass,poison,40,30,35,50,70,55,4,green,Over the winter， it closes its bud and endures the cold. In spring， the bud opens and releases pollen.
407,roserade,9,145,232,grass,poison,60,70,65,125,105,90,4,green,With the movements of a dancer， it strikes with whips that are densely lined with poison thorns.
408,cranidos,9,315,70,rock,,67,125,40,30,30,58,4,blue,A lifelong jungle dweller from 100 million years ago， it would snap obstructing trees with headbutts.
409,rampardos,16,1025,173,rock,,97,165,60,65,50,58,4,blue,Its skull is as hard as iron. It is a brute that tears down jungle trees while catching prey.
410,shieldon,5,570,70,rock,steel,30,42,118,42,88,30,4,gray,It was generated from a fossil dug out of a layer of clay that was older than anyone knows. It has a sturdy face.
411,bastiodon,13,1495,173,rock,steel,60,52,168,47,138,30,4,gray,Any frontal attack is repulsed. It is a docile Pokémon that feeds on grass and berries.
412,burmy,2,34,45,bug,,40,29,45,29,45,36,4,gray,If its cloak is broken in battle， it quickly remakes the cloak with materials nearby.
413,wormadam-plant,5,65,148,bug,grass,60,59,85,79,105,36,4,gray,When Burmy evolved， its cloak became a part of this Pokémon’s body. The cloak is never shed.
414,mothim,9,233,148,bug,flying,70,94,50,94,50,66,4,yellow,It flutters around at night and steals honey from the Combee hive.
415,combee,3,55,49,bug,flying,30,30,42,30,42,70,4,yellow,It collects and delivers honey to its colony. At night， they cluster to form a beehive and sleep.
416,vespiquen,12,385,166,bug,flying,70,80,102,80,102,40,4,yellow,Its abdomen is a honeycomb for grubs. It raises its grubs on honey collected by Combee.
417,pachirisu,4,39,142,electric,,60,45,70,45,90,95,4,blue,A pair may be seen rubbing their cheek pouches together in an effort to share stored electricity.
418,buizel,7,295,66,water,,55,65,35,60,30,85,4,brown,It inflates the flotation sac around its neck and pokes its head out of the water to see what is going on.
419,floatzel,11,335,173,water,,85,105,55,85,50,115,4,brown,Its flotation sac developed as a result of pursuing aquatic prey. It can double as a rubber raft.
420,cherubi,4,33,55,grass,,45,35,45,62,53,35,4,pink,It evolves by sucking the energy out of the small ball where it had been storing nutrients.
421,cherrim,5,93,158,grass,,70,60,70,87,78,85,4,pink,If it senses strong sunlight， it opens its folded petals to absorb the sun’s rays with its whole body.
422,shellos,3,63,65,water,,76,48,48,57,62,34,4,purple,Its shape and coloration vary， depending on its habitat.
423,gastrodon,9,299,166,water,ground,111,83,68,92,82,39,4,purple,It apparently had a huge shell for protection in ancient times. It lives in shallow tidal pools.
424,ambipom,12,203,169,normal,,75,100,66,60,66,115,4,purple,To eat， it deftly shucks nuts with its two tails. It rarely uses its arms now.
425,drifloon,4,12,70,ghost,flying,90,50,34,60,44,70,4,purple,These Pokémon are called the Signpost for Wandering Spirits. Children holding them sometimes vanish.
426,drifblim,12,150,174,ghost,flying,150,80,44,90,54,80,4,purple,It’s drowsy in daytime， but flies off in the evening in big groups. No one knows where they go.
427,buneary,4,55,70,normal,,55,66,44,44,56,85,4,brown,When it senses danger， it perks up its ears. On cold nights， it sleeps with its head tucked into its fur.
428,lopunny,12,333,168,normal,,65,76,84,54,96,105,4,brown,The ears appear to be delicate. If they are touched roughly， it kicks with its graceful legs.
429,mismagius,9,44,173,ghost,,60,60,60,105,105,105,4,purple,Its cries sound like incantations to torment the foe. It appears where you least expect it.
430,honchkrow,9,273,177,dark,flying,100,125,52,105,52,71,4,black,Becoming active at night， it is known to swarm with numerous Murkrow in tow.
431,glameow,5,39,62,normal,,49,55,42,42,37,85,4,gray,When it’s happy， Glameow demonstrates beautiful movements of its tail， like a dancing ribbon.
432,purugly,10,438,158,normal,,71,82,64,64,59,112,4,gray,To make itself appear intimidatingly beefy， it tightly cinches its waist with its twin tails.
433,chingling,2,6,57,psychic,,45,30,50,65,50,45,4,yellow,There is an orb inside its mouth. When it hops， the orb bounces all over and makes a ringing sound.
434,stunky,4,192,66,poison,dark,63,63,47,41,41,74,4,purple,It protects itself by spraying a noxious fluid from its rear. The stench lingers for 24 hours.
435,skuntank,10,380,168,poison,dark,103,93,67,71,61,84,4,purple,It sprays a stinky fluid from its tail. The fluid smells worse the longer it is allowed to fester.
436,bronzor,5,605,60,steel,psychic,57,24,86,24,86,23,4,green,Implements shaped like it were discovered in ancient tombs. It is unknown if they are related.
437,bronzong,13,1870,175,steel,psychic,67,89,116,79,116,33,4,green,Ancient people believed that petitioning Bronzong for rain was the way to make crops grow.
438,bonsly,5,150,58,rock,,50,80,95,10,45,10,4,brown,It prefers an arid atmosphere. It leaks water that looks like tears when adjusting its moisture level.
